Title,Date,Mileage,Price
Honda CB 1000 RA SC-Project,FR 04/2022 ," 23,775 km ","€9,990"
Honda CB 1000 RA *Neuwertig*,FR 04/2022 ," 3,400 km ","€11,990"
"Honda CB 1000 R SC 80, Reifen+Service neu",FR 05/2022 ," 21,550 km ","€8,990"
Honda CB1000RA,FR 03/2021 ," 9,890 km ","€8,900"
Honda CB1000R Black Edition / Finanzierung,FR 05/2022 ," 1,490 km ","€11,500"
Honda CB1000R Black Edition *Wilbers Federbein*,FR 01/2023 ," 12,178 km ","€12,490"
Honda CB1000R Black Edition Erste 500km + Akrapovic!!,FR 04/2022 , 537 km ,"€13,990"
"Honda CB 1000 R BLACK EDITION - Schaltassistent, TC",FR 09/2021 ," 4,196 km ","€10,989"
Honda CB1000R Black Edition | Superzustand,FR 05/2022 ," 5,045 km ","€11,990"
Honda CB1000R Black Edition *Wilbers Federbein*,FR 01/2023 ," 12,178 km ","€12,490"
Honda CB1000R Black Edition Erste 500km + Akrapovic!!,FR 04/2022 , 537 km ,"€13,990"
Honda CB1000RA,FR 03/2021 ," 9,890 km ","€8,900"
"Honda CB 1000 R BLACK EDITION - Schaltassistent, TC",FR 09/2021 ," 4,196 km ","€10,989"
Honda CB1000R Black Edition | Superzustand,FR 05/2022 ," 5,045 km ","€11,990"
Honda CB1000R Black Edition,FR 09/2021 ," 4,511 km ","€10,900"
Honda CB1000R Black Edition / Finanzierung,FR 04/2024 ," 2,990 km ","€13,490"
Honda CB1000R,FR 12/2022 ," 3,050 km ","€11,890"
Honda CB1000R Black Edition *Service und TÜV neu*,FR 01/2023 ," 10,692 km ","€9,499"
Honda CB1000R BLACK EDITION,FR 12/2022 , 800 km ,"€12,990"
"Honda CB 1000 R Neo Sports Cafe, Top Zustand",FR 12/2021 ," 3,200 km ","€9,990"
Honda CB1000R Black Edition + Öhlins STX46 u. NIX30,FR 12/2023 ," 1,361 km ","€14,990"
Honda CB 1000 RAP ED **MIT EXTRAS**,FR 12/2022 ," 5,250 km ","€10,489"
"Honda CB1000 R ""Black Edition""",FR 12/2022 , 600 km ,"€12,490"
Honda CB 1000 R,FR 12/2022 , 200 km ,"€11,990"
Honda CB 1000 R Black Edition,FR 01/2023 , 18 km ,"€12,650"
Honda CB1000R,FR 09/2022 ," 1,834 km ","€10,500"
Honda CB1000R,FR 12/2022 , 107 km ,"€11,390"
Honda CB1000R Black Edition ABS,FR 06/2023 ," 2,093 km ","€12,490"
Honda CB 1000 R Black Edition*jetzt probefahren oder m,FR 12/2023 ," 1,622 km ","€13,890"
Honda CB1000R Black Edition,FR 10/2023 ," 1,300 km ","€13,490"
Honda CB1000R Black Edition,FR 12/2023 ," 1,249 km ","€12,999"
Honda CB 1000 R,FR 03/2022 ," 1,700 km ","€9,480"
Honda CB1000R --Modell 2023--,FR 03/2023 ," 2,600 km ","€11,300"
Honda CB 1000 RA,FR 05/2023 ," 1,650 km ","€11,995"
Honda CB 1000 R BLACK EDITION - Wenig Kilometer!,FR 12/2023 ," 1,020 km ","€12,989"
Honda CB 1000 R,FR 01/2023 ," 5,375 km ","€9,990"
Honda CB 1000 R BLACK EDITION SC Project Sofort,FR 12/2023 , 500 km ,"€13,790"
Honda CB1000R - Endless Sunshine Deals -,FR 12/2022 ," 1,802 km ","€9,980"
Honda CB 1000 R Black Edition,FR 11/2023 ," 2,500 km ","€11,790"
Honda CB 1000 R Black Edition 2024,FR 03/2024 ," 1,250 km ","€13,690"
Honda CB1000R Black Edition,FR 01/2024 , 225 km ,"€13,590"
Honda CB1000R,FR 12/2022 , 1 km ,"€10,790"
Honda CB1000R Black Edition Jetzt probefahren u. beste,FR 11/2023 , 250 km ,"€12,900"
Honda CB 1000 R (Finanzierung möglich),FR 02/2023 ," 3,500 km ","€9,999"
Honda CB 1000 R Neo Sports,FR 01/2024 , 200 km ,"€12,590"
Honda CB 1000 R Neo Sports Café,FR 10/2022 ," 4,000 km ","€9,000"
Honda CB1000R Black Edition,FR 12/2023 , 300 km ,"€12,900"
Honda CB1000R Black Edition Quickshifter LED,FR 03/2024 , 500 km ,"€13,490"
Honda CB1000R Black Edition,FR 12/2023 , 21 km ,"€12,900"
Honda CB1000R - wenig Kilometer - TOP Zustand!,FR 09/2023 ," 1,954 km ","€10,890"
"Honda CB1000R ""BLACK EDITION"" / ""DEMO SALE 2024""",FR 03/2024 ," 1,995 km ","€11,990"
Honda CB 1000 R Black Edition,FR 02/2024 , 20 km ,"€12,990"
Honda CB1000R Black Edition,FR 01/2024 , 350 km ,"€11,900"
Honda CB1000RA ABS 2023!,FR 09/2023 , 306 km ,"€10,990"
Honda CB 1000 R Black Edition 2024,FR 06/2024 , 290 km ,"€12,590"
Honda CB 1000 R Black Edition,FR 09/2021 ," 16,475 km ","€10,390"
Honda CB1000RAP/VFM,FR 12/2022 ," 1,252 km ","€11,999"
Honda CB1000R SC80 Vorführer mit Top Zustand,FR 01/2023 ," 2,715 km ","€11,700"
Honda CB1000RAP/BLACK EDITION/VFM,FR 12/2023 , 0 km ,"€14,799"
Honda CB 1000 R,FR 12/2021 ," 16,600 km ","€9,500"
Honda CB 1000R Black Edition *Top Zustand*,FR 09/2021 ," 8,303 km ","€11,490"
Honda CB 1000 R Euro 5,FR 01/2023 ," 2,700 km ","€10,990"
Honda CB1000R Black Edition,FR 06/2021 ," 7,350 km ","€10,900"
Honda Wunderschöne CB1000R Black Edition inkl. Zubehör,FR 09/2021 ," 10,000 km ","€10,500"
Honda CB 1000 R,FR 12/2022 ," 3,426 km ","€9,990"
Honda CB1000R | Garantie 03/27 | Zubehör,FR 03/2022 ," 16,500 km ","€8,890"
Honda CB 1000 R Black Edition,FR 03/2022 ," 12,224 km ","€9,750"
Honda CB 1000 R,FR 07/2021 ," 10,000 km ","€9,000"
Honda Honda CB 1000 R Black Edition,FR 05/2021 ," 6,600 km ","€9,500"
Honda CB1000R,FR 08/2021 ," 4,660 km ","€10,499"
Honda CB1000R Black Edition,FR 05/2022 ," 5,500 km ","€11,500"
Honda CB 1000 R,FR 06/2021 ," 3,300 km ","€10,490"
Honda CB 1000 R Black Edition,FR 03/2022 ," 1,347 km ","€12,490"
Honda CB1000R Black Edition,FR 03/2022 ," 1,300 km ","€12,499"
Honda CB1000R Black Edition,FR 06/2022 ," 5,900 km ","€11,390"
Honda CB 1000R Black Edition,FR 01/2023 ," 8,033 km ","€11,790"
Honda CB 1000 R Black Edition,FR 02/2023 ," 10,950 km ","€10,999"
Honda CB 1000 R,FR 03/2021 ," 1,415 km ","€10,250"
Honda CB 1000 RA 1.Hand 7855 km Neuzustand,FR 06/2022 ," 7,855 km ","€10,450"
Honda CB 1000 R ABS SC80,FR 08/2021 ," 3,400 km ","€9,990"
Honda CB 1000 R Black Edition,FR 02/2022 ," 6,771 km ","€9,790"
Honda CB 1000R,FR 05/2022 ," 8,997 km ","€9,490"
Honda CB1000R SC80,FR 06/2023 ," 11,508 km ","€10,500"
Honda CB1000R+ Top Zustand aus 1. Hand mit Zubehör!,FR 07/2022 ," 4,800 km ","€10,490"
Honda CB1000R *Vorführfahrzeug*,FR 12/2022 ," 3,500 km ","€11,480"
Honda CB1000R Vorführfahrzeug Sommer Kampagne,FR 12/2022 ," 1,430 km ","€11,999"
Honda CB1000RA,FR 09/2022 ," 2,116 km ","€10,490"
Honda CB1000R Black Edition +HG +6 Extras **1A TOP**,FR 08/2023 ," 1,791 km ","€12,480"
Honda CB1000R Black Edition Sommer Aktion,FR 01/2024 , 460 km ,"€13,990"
Honda CB1000R,FR 07/2022 ," 1,700 km ","€9,990"
Honda CB1000R SC80,FR 08/2022 ," 3,200 km ","€9,600"
Honda CB1000 R Black Edition,FR 09/2023 ," 1,660 km ","€12,499"
Honda CB1000R Black Edition - Vorführfahrzeug -,FR 02/2024 ," 2,724 km ","€12,990"
Honda CB1000R SC80 BlackEdition,FR 07/2022 ," 1,972 km ","€9,500"
"Honda CB1000R ""Black Edition"" an Lager",FR 11/2023 , 0 km ,"€12,990"
Honda CB 1000 R ABS Black Edition Top Zustand !,FR 12/2023 , 450 km ,"€12,890"
Honda CB 1000 R Black Edition in Jeans blue metallic,FR 08/2023 ," 3,300 km ","€11,000"
Honda CB1000R | ABS | SC80 | TOP ZUSTAND,FR 03/2023 ," 3,000 km ","€9,990"
Honda CB1000R Black Edition Vorführfahrzeug,FR 05/2024 , 999 km ,"€12,790"
Honda CB1000R,FR 04/2023 ," 3,800 km ","€8,999"
